#x       y        Exact    Computed
0.000000 0.000000 1.000000 1.000000
0.000000 0.010101 0.997987 0.997987
0.000000 0.020202 0.991955 0.991955
0.000000 0.030303 0.981929 0.981929
0.000000 0.040404 0.967949 0.967949
0.000000 0.050505 0.950071 0.950071
0.000000 0.060606 0.928368 0.928368
0.000000 0.070707 0.902927 0.902927
0.000000 0.080808 0.873849 0.873849
0.000000 0.090909 0.841254 0.841254
0.000000 0.101010 0.805270 0.805270
0.000000 0.111111 0.766044 0.766044
0.000000 0.121212 0.723734 0.723734
0.000000 0.131313 0.678509 0.678509
0.000000 0.141414 0.630553 0.630553
0.000000 0.151515 0.580057 0.580057
0.000000 0.161616 0.527225 0.527225
0.000000 0.171717 0.472271 0.472271
0.000000 0.181818 0.415415 0.415415
0.000000 0.191919 0.356886 0.356886
0.000000 0.202020 0.296920 0.296920
0.000000 0.212121 0.235759 0.235759
0.000000 0.222222 0.173648 0.173648
0.000000 0.232323 0.110838 0.110838
0.000000 0.242424 0.047582 0.047582
0.000000 0.252525 -0.015866 -0.015866
0.000000 0.262626 -0.079250 -0.079250
0.000000 0.272727 -0.142315 -0.142315
0.000000 0.282828 -0.204807 -0.204807
0.000000 0.292929 -0.266474 -0.266474
0.000000 0.303030 -0.327068 -0.327068
0.000000 0.313131 -0.386345 -0.386345
0.000000 0.323232 -0.444067 -0.444067
0.000000 0.333333 -0.500000 -0.500000
0.000000 0.343434 -0.553920 -0.553920
0.000000 0.353535 -0.605610 -0.605610
0.000000 0.363636 -0.654861 -0.654861
0.000000 0.373737 -0.701475 -0.701475
0.000000 0.383838 -0.745264 -0.745264
0.000000 0.393939 -0.786053 -0.786053
0.000000 0.404040 -0.823677 -0.823677
0.000000 0.414141 -0.857983 -0.857983
0.000000 0.424242 -0.888835 -0.888835
0.000000 0.434343 -0.916108 -0.916108
0.000000 0.444444 -0.939693 -0.939693
0.000000 0.454545 -0.959493 -0.959493
0.000000 0.464646 -0.975430 -0.975430
0.000000 0.474747 -0.987439 -0.987439
0.000000 0.484848 -0.995472 -0.995472
0.000000 0.494949 -0.999497 -0.999497
0.000000 0.505051 -0.999497 -0.999497
0.000000 0.515152 -0.995472 -0.995472
0.000000 0.525253 -0.987439 -0.987439
0.000000 0.535354 -0.975430 -0.975430
0.000000 0.545455 -0.959493 -0.959493
0.000000 0.555556 -0.939693 -0.939693
0.000000 0.565657 -0.916108 -0.916108
0.000000 0.575758 -0.888835 -0.888835
0.000000 0.585859 -0.857983 -0.857983
0.000000 0.595960 -0.823677 -0.823677
0.000000 0.606061 -0.786053 -0.786053
0.000000 0.616162 -0.745264 -0.745264
0.000000 0.626263 -0.701475 -0.701475
0.000000 0.636364 -0.654861 -0.654861
0.000000 0.646465 -0.605610 -0.605610
0.000000 0.656566 -0.553920 -0.553920
0.000000 0.666667 -0.500000 -0.500000
0.000000 0.676768 -0.444067 -0.444067
0.000000 0.686869 -0.386345 -0.386345
0.000000 0.696970 -0.327068 -0.327068
0.000000 0.707071 -0.266474 -0.266474
0.000000 0.717172 -0.204807 -0.204807
0.000000 0.727273 -0.142315 -0.142315
0.000000 0.737374 -0.079250 -0.079250
0.000000 0.747475 -0.015866 -0.015866
0.000000 0.757576 0.047582 0.047582
0.000000 0.767677 0.110838 0.110838
0.000000 0.777778 0.173648 0.173648
0.000000 0.787879 0.235759 0.235759
0.000000 0.797980 0.296920 0.296920
0.000000 0.808081 0.356886 0.356886
0.000000 0.818182 0.415415 0.415415
0.000000 0.828283 0.472271 0.472271
0.000000 0.838384 0.527225 0.527225
0.000000 0.848485 0.580057 0.580057
0.000000 0.858586 0.630553 0.630553
0.000000 0.868687 0.678509 0.678509
0.000000 0.878788 0.723734 0.723734
0.000000 0.888889 0.766044 0.766044
0.000000 0.898990 0.805270 0.805270
0.000000 0.909091 0.841254 0.841254
0.000000 0.919192 0.873849 0.873849
0.000000 0.929293 0.902927 0.902927
0.000000 0.939394 0.928368 0.928368
0.000000 0.949495 0.950071 0.950071
0.000000 0.959596 0.967949 0.967949
0.000000 0.969697 0.981929 0.981929
0.000000 0.979798 0.991955 0.991955
0.000000 0.989899 0.997987 0.997987
0.000000 1.000000 1.000000 1.000000
0.010101 0.000000 0.997987 0.997987
0.010101 0.010101 0.995977 0.995977
0.010101 0.020202 0.989958 0.989958
0.010101 0.030303 0.979952 0.979952
0.010101 0.040404 0.966000 0.966000
0.010101 0.050505 0.948158 0.948158
0.010101 0.060606 0.926499 0.926499
0.010101 0.070707 0.901109 0.901109
0.010101 0.080808 0.872090 0.872090
0.010101 0.090909 0.839560 0.839560
0.010101 0.101010 0.803649 0.803649
0.010101 0.111111 0.764502 0.764502
0.010101 0.121212 0.722277 0.722277
0.010101 0.131313 0.677143 0.677143
0.010101 0.141414 0.629283 0.629283
0.010101 0.151515 0.578889 0.578889
0.010101 0.161616 0.526164 0.526164
0.010101 0.171717 0.471320 0.471320
0.010101 0.181818 0.414579 0.414579
0.010101 0.191919 0.356168 0.356168
0.010101 0.202020 0.296323 0.296323
0.010101 0.212121 0.235284 0.235284
0.010101 0.222222 0.173299 0.173299
0.010101 0.232323 0.110615 0.110615
0.010101 0.242424 0.047486 0.047486
0.010101 0.252525 -0.015834 -0.015834
0.010101 0.262626 -0.079090 -0.079090
0.010101 0.272727 -0.142028 -0.142028
0.010101 0.282828 -0.204394 -0.204394
0.010101 0.292929 -0.265937 -0.265937
0.010101 0.303030 -0.326409 -0.326409
0.010101 0.313131 -0.385567 -0.385567
0.010101 0.323232 -0.443173 -0.443173
0.010101 0.333333 -0.498993 -0.498993
0.010101 0.343434 -0.552805 -0.552805
0.010101 0.353535 -0.604390 -0.604390
0.010101 0.363636 -0.653542 -0.653542
0.010101 0.373737 -0.700063 -0.700063
0.010101 0.383838 -0.743764 -0.743764
0.010101 0.393939 -0.784471 -0.784471
0.010101 0.404040 -0.822018 -0.822018
0.010101 0.414141 -0.856256 -0.856256
0.010101 0.424242 -0.887046 -0.887046
0.010101 0.434343 -0.914264 -0.914264
0.010101 0.444444 -0.937801 -0.937801
0.010101 0.454545 -0.957561 -0.957561
0.010101 0.464646 -0.973466 -0.973466
0.010101 0.474747 -0.985451 -0.985451
0.010101 0.484848 -0.993468 -0.993468
0.010101 0.494949 -0.997484 -0.997484
0.010101 0.505051 -0.997484 -0.997484
0.010101 0.515152 -0.993468 -0.993468
0.010101 0.525253 -0.985451 -0.985451
0.010101 0.535354 -0.973466 -0.973466
0.010101 0.545455 -0.957561 -0.957561
0.010101 0.555556 -0.937801 -0.937801
0.010101 0.565657 -0.914264 -0.914264
0.010101 0.575758 -0.887046 -0.887046
0.010101 0.585859 -0.856256 -0.856256
0.010101 0.595960 -0.822018 -0.822018
0.010101 0.606061 -0.784471 -0.784471
0.010101 0.616162 -0.743764 -0.743764
0.010101 0.626263 -0.700063 -0.700063
0.010101 0.636364 -0.653542 -0.653542
0.010101 0.646465 -0.604390 -0.604390
0.010101 0.656566 -0.552805 -0.552805
0.010101 0.666667 -0.498993 -0.498993
0.010101 0.676768 -0.443173 -0.443173
0.010101 0.686869 -0.385567 -0.385567
0.010101 0.696970 -0.326409 -0.326409
0.010101 0.707071 -0.265937 -0.265937
0.010101 0.717172 -0.204394 -0.204394
0.010101 0.727273 -0.142028 -0.142028
0.010101 0.737374 -0.079090 -0.079090
0.010101 0.747475 -0.015834 -0.015834
0.010101 0.757576 0.047486 0.047486
0.010101 0.767677 0.110615 0.110615
0.010101 0.777778 0.173299 0.173299
0.010101 0.787879 0.235284 0.235284
0.010101 0.797980 0.296323 0.296323
0.010101 0.808081 0.356168 0.356168
0.010101 0.818182 0.414579 0.414579
0.010101 0.828283 0.471320 0.471320
0.010101 0.838384 0.526164 0.526164
0.010101 0.848485 0.578889 0.578889
0.010101 0.858586 0.629283 0.629283
0.010101 0.868687 0.677143 0.677143
0.010101 0.878788 0.722277 0.722277
0.010101 0.888889 0.764502 0.764502
0.010101 0.898990 0.803649 0.803649
0.010101 0.909091 0.839560 0.839560
0.010101 0.919192 0.872090 0.872090
0.010101 0.929293 0.901109 0.901109
0.010101 0.939394 0.926499 0.926499
0.010101 0.949495 0.948158 0.948158
0.010101 0.959596 0.966000 0.966000
0.010101 0.969697 0.979952 0.979952
0.010101 0.979798 0.989958 0.989958
0.010101 0.989899 0.995977 0.995977
0.010101 1.000000 0.997987 0.997987
0.020202 0.000000 0.991955 0.991955
0.020202 0.010101 0.989958 0.989958
0.020202 0.020202 0.983974 0.983974
0.020202 0.030303 0.974029 0.974029
0.020202 0.040404 0.960161 0.960161
0.020202 0.050505 0.942428 0.942428
0.020202 0.060606 0.920899 0.920899
0.020202 0.070707 0.895662 0.895662
0.020202 0.080808 0.866819 0.866819
0.020202 0.090909 0.834485 0.834485
0.020202 0.101010 0.798792 0.798792
0.020202 0.111111 0.759881 0.759881
0.020202 0.121212 0.717911 0.717911
0.020202 0.131313 0.673051 0.673051
0.020202 0.141414 0.625480 0.625480
0.020202 0.151515 0.575390 0.575390
0.020202 0.161616 0.522984 0.522984
0.020202 0.171717 0.468472 0.468472
0.020202 0.181818 0.412073 0.412073
0.020202 0.191919 0.354015 0.354015
0.020202 0.202020 0.294532 0.294532
0.020202 0.212121 0.233862 0.233862
0.020202 0.222222 0.172251 0.172251
0.020202 0.232323 0.109946 0.109946
0.020202 0.242424 0.047199 0.047199
0.020202 0.252525 -0.015738 -0.015738
0.020202 0.262626 -0.078612 -0.078612
0.020202 0.272727 -0.141170 -0.141170
0.020202 0.282828 -0.203159 -0.203159
0.020202 0.292929 -0.264330 -0.264330
0.020202 0.303030 -0.324437 -0.324437
0.020202 0.313131 -0.383237 -0.383237
0.020202 0.323232 -0.440494 -0.440494
0.020202 0.333333 -0.495977 -0.495977
0.020202 0.343434 -0.549464 -0.549464
0.020202 0.353535 -0.600737 -0.600737
0.020202 0.363636 -0.649592 -0.649592
0.020202 0.373737 -0.695831 -0.695831
0.020202 0.383838 -0.739269 -0.739269
0.020202 0.393939 -0.779729 -0.779729
0.020202 0.404040 -0.817050 -0.817050
0.020202 0.414141 -0.851081 -0.851081
0.020202 0.424242 -0.881685 -0.881685
0.020202 0.434343 -0.908738 -0.908738
0.020202 0.444444 -0.932133 -0.932133
0.020202 0.454545 -0.951774 -0.951774
0.020202 0.464646 -0.967582 -0.967582
0.020202 0.474747 -0.979495 -0.979495
0.020202 0.484848 -0.987463 -0.987463
0.020202 0.494949 -0.991455 -0.991455
0.020202 0.505051 -0.991455 -0.991455
0.020202 0.515152 -0.987463 -0.987463
0.020202 0.525253 -0.979495 -0.979495
0.020202 0.535354 -0.967582 -0.967582
0.020202 0.545455 -0.951774 -0.951774
0.020202 0.555556 -0.932133 -0.932133
0.020202 0.565657 -0.908738 -0.908738
0.020202 0.575758 -0.881685 -0.881685
0.020202 0.585859 -0.851081 -0.851081
0.020202 0.595960 -0.817050 -0.817050
0.020202 0.606061 -0.779729 -0.779729
0.020202 0.616162 -0.739269 -0.739269
0.020202 0.626263 -0.695831 -0.695831
0.020202 0.636364 -0.649592 -0.649592
0.020202 0.646465 -0.600737 -0.600737
0.020202 0.656566 -0.549464 -0.549464
0.020202 0.666667 -0.495977 -0.495977
0.020202 0.676768 -0.440494 -0.440494
0.020202 0.686869 -0.383237 -0.383237
0.020202 0.696970 -0.324437 -0.324437
0.020202 0.707071 -0.264330 -0.264330
0.020202 0.717172 -0.203159 -0.203159
0.020202 0.727273 -0.141170 -0.141170
0.020202 0.737374 -0.078612 -0.078612
0.020202 0.747475 -0.015738 -0.015738
0.020202 0.757576 0.047199 0.047199
0.020202 0.767677 0.109946 0.109946
0.020202 0.777778 0.172251 0.172251
0.020202 0.787879 0.233862 0.233862
0.020202 0.797980 0.294532 0.294532
0.020202 0.808081 0.354015 0.354015
0.020202 0.818182 0.412073 0.412073
0.020202 0.828283 0.468472 0.468472
0.020202 0.838384 0.522984 0.522984
0.020202 0.848485 0.575390 0.575390
0.020202 0.858586 0.625480 0.625480
0.020202 0.868687 0.673051 0.673051
0.020202 0.878788 0.717911 0.717911
0.020202 0.888889 0.759881 0.759881
0.020202 0.898990 0.798792 0.798792
0.020202 0.909091 0.834485 0.834485
0.020202 0.919192 0.866819 0.866819
0.020202 0.929293 0.895662 0.895662
0.020202 0.939394 0.920899 0.920899
0.020202 0.949495 0.942428 0.942428
0.020202 0.959596 0.960161 0.960161
0.020202 0.969697 0.974029 0.974029
0.020202 0.979798 0.983974 0.983974
0.020202 0.989899 0.989958 0.989958
0.020202 1.000000 0.991955 0.991955
0.030303 0.000000 0.981929 0.981929
0.030303 0.010101 0.979952 0.979952
0.030303 0.020202 0.974029 0.974029
0.030303 0.030303 0.964184 0.964184
0.030303 0.040404 0.950457 0.950457
0.030303 0.050505 0.932902 0.932902
0.030303 0.060606 0.911591 0.911591
0.030303 0.070707 0.886609 0.886609
0.030303 0.080808 0.858058 0.858058
0.030303 0.090909 0.826051 0.826051
0.030303 0.101010 0.790718 0.790718
0.030303 0.111111 0.752201 0.752201
0.030303 0.121212 0.710655 0.710655
0.030303 0.131313 0.666248 0.666248
0.030303 0.141414 0.619158 0.619158
0.030303 0.151515 0.569575 0.569575
0.030303 0.161616 0.517698 0.517698
0.030303 0.171717 0.463737 0.463737
0.030303 0.181818 0.407908 0.407908
