#x       Exact    Computed
0.000000 1.000000 -nan
0.010101 0.997987 -nan
0.020202 0.991955 -nan
0.030303 0.981929 -nan
0.040404 0.967949 -nan
0.050505 0.950071 -nan
0.060606 0.928368 -nan
0.070707 0.902927 -nan
0.080808 0.873849 -nan
0.090909 0.841254 -nan
0.101010 0.805270 -nan
0.111111 0.766044 -nan
0.121212 0.723734 -nan
0.131313 0.678509 -nan
0.141414 0.630553 -nan
0.151515 0.580057 -nan
0.161616 0.527225 -nan
0.171717 0.472271 -nan
0.181818 0.415415 -nan
0.191919 0.356886 -nan
0.202020 0.296920 -nan
0.212121 0.235759 -nan
0.222222 0.173648 -nan
0.232323 0.110838 -nan
0.242424 0.047582 -nan
0.252525 -0.015866 -nan
0.262626 -0.079250 -nan
0.272727 -0.142315 -nan
0.282828 -0.204807 -nan
0.292929 -0.266474 -nan
0.303030 -0.327068 -nan
0.313131 -0.386345 -nan
0.323232 -0.444067 -nan
0.333333 -0.500000 -nan
0.343434 -0.553920 -nan
0.353535 -0.605610 -nan
0.363636 -0.654861 -nan
0.373737 -0.701475 -nan
0.383838 -0.745264 -nan
0.393939 -0.786053 -nan
0.404040 -0.823677 -nan
0.414141 -0.857983 -nan
0.424242 -0.888835 -nan
0.434343 -0.916108 -nan
0.444444 -0.939693 -nan
0.454545 -0.959493 -nan
0.464646 -0.975430 -nan
0.474747 -0.987439 -nan
0.484848 -0.995472 -nan
0.494949 -0.999497 -nan
0.505051 -0.999497 -nan
0.515152 -0.995472 -nan
0.525253 -0.987439 -nan
0.535354 -0.975430 -nan
0.545455 -0.959493 -nan
0.555556 -0.939693 -nan
0.565657 -0.916108 -nan
0.575758 -0.888835 -nan
0.585859 -0.857983 -nan
0.595960 -0.823677 -nan
0.606061 -0.786053 -nan
0.616162 -0.745264 -nan
0.626263 -0.701475 -nan
0.636364 -0.654861 -nan
0.646465 -0.605610 -nan
0.656566 -0.553920 -nan
0.666667 -0.500000 -nan
0.676768 -0.444067 -nan
0.686869 -0.386345 -nan
0.696970 -0.327068 -nan
0.707071 -0.266474 -nan
0.717172 -0.204807 -nan
0.727273 -0.142315 -nan
0.737374 -0.079250 -nan
0.747475 -0.015866 -nan
0.757576 0.047582 -nan
0.767677 0.110838 -nan
0.777778 0.173648 -nan
0.787879 0.235759 -nan
0.797980 0.296920 -nan
0.808081 0.356886 -nan
0.818182 0.415415 -nan
0.828283 0.472271 -nan
0.838384 0.527225 -nan
0.848485 0.580057 -nan
0.858586 0.630553 -nan
0.868687 0.678509 -nan
0.878788 0.723734 -nan
0.888889 0.766044 -nan
0.898990 0.805270 -nan
0.909091 0.841254 -nan
0.919192 0.873849 -nan
0.929293 0.902927 -nan
0.939394 0.928368 -nan
0.949495 0.950071 -nan
0.959596 0.967949 -nan
0.969697 0.981929 -nan
0.979798 0.991955 -nan
0.989899 0.997987 -nan
1.000000 1.000000 -nan
