#x       Exact    Computed
0.000000 1.000000 1.000000
0.010101 0.997987 0.997987
0.020202 0.991955 0.991955
0.030303 0.981929 0.981929
0.040404 0.967949 0.967949
0.050505 0.950071 0.950071
0.060606 0.928368 0.928368
0.070707 0.902927 0.902927
0.080808 0.873849 0.873849
0.090909 0.841254 0.841254
0.101010 0.805270 0.805270
0.111111 0.766044 0.766044
0.121212 0.723734 0.723734
0.131313 0.678509 0.678509
0.141414 0.630553 0.630553
0.151515 0.580057 0.580057
0.161616 0.527225 0.527225
0.171717 0.472271 0.472271
0.181818 0.415415 0.415415
0.191919 0.356886 0.356886
0.202020 0.296920 0.296920
0.212121 0.235759 0.235759
0.222222 0.173648 0.173648
0.232323 0.110838 0.110838
0.242424 0.047582 0.047582
0.252525 -0.015866 -0.015866
0.262626 -0.079250 -0.079250
0.272727 -0.142315 -0.142315
0.282828 -0.204807 -0.204807
0.292929 -0.266474 -0.266474
0.303030 -0.327068 -0.327068
0.313131 -0.386345 -0.386345
0.323232 -0.444067 -0.444067
0.333333 -0.500000 -0.500000
0.343434 -0.553920 -0.553920
0.353535 -0.605610 -0.605610
0.363636 -0.654861 -0.654861
0.373737 -0.701475 -0.701475
0.383838 -0.745264 -0.745265
0.393939 -0.786053 -0.786053
0.404040 -0.823677 -0.823677
0.414141 -0.857983 -0.857984
0.424242 -0.888835 -0.888836
0.434343 -0.916108 -0.916109
0.444444 -0.939693 -0.939693
0.454545 -0.959493 -0.959493
0.464646 -0.975430 -0.975430
0.474747 -0.987439 -0.987439
0.484848 -0.995472 -0.995472
0.494949 -0.999497 -0.999497
0.505051 -0.999497 -0.999497
0.515152 -0.995472 -0.995472
0.525253 -0.987439 -0.987439
0.535354 -0.975430 -0.975430
0.545455 -0.959493 -0.959493
0.555556 -0.939693 -0.939693
0.565657 -0.916108 -0.916109
0.575758 -0.888835 -0.888836
0.585859 -0.857983 -0.857984
0.595960 -0.823677 -0.823677
0.606061 -0.786053 -0.786053
0.616162 -0.745264 -0.745265
0.626263 -0.701475 -0.701475
0.636364 -0.654861 -0.654861
0.646465 -0.605610 -0.605610
0.656566 -0.553920 -0.553920
0.666667 -0.500000 -0.500000
0.676768 -0.444067 -0.444067
0.686869 -0.386345 -0.386345
0.696970 -0.327068 -0.327068
0.707071 -0.266474 -0.266474
0.717172 -0.204807 -0.204807
0.727273 -0.142315 -0.142315
0.737374 -0.079250 -0.079250
0.747475 -0.015866 -0.015866
0.757576 0.047582 0.047582
0.767677 0.110838 0.110838
0.777778 0.173648 0.173648
0.787879 0.235759 0.235759
0.797980 0.296920 0.296920
0.808081 0.356886 0.356886
0.818182 0.415415 0.415415
0.828283 0.472271 0.472271
0.838384 0.527225 0.527225
0.848485 0.580057 0.580057
0.858586 0.630553 0.630553
0.868687 0.678509 0.678509
0.878788 0.723734 0.723734
0.888889 0.766044 0.766044
0.898990 0.805270 0.805270
0.909091 0.841254 0.841254
0.919192 0.873849 0.873849
0.929293 0.902927 0.902927
0.939394 0.928368 0.928368
0.949495 0.950071 0.950071
0.959596 0.967949 0.967949
0.969697 0.981929 0.981929
0.979798 0.991955 0.991955
0.989899 0.997987 0.997987
1.000000 1.000000 1.000000
