#x       y        Exact    Computed
0.000000 0.000000 1.000000 1.000000
0.000000 0.111111 0.766044 0.766044
0.000000 0.222222 0.173648 0.173648
0.000000 0.333333 -0.500000 -0.500000
0.000000 0.444444 -0.939693 -0.939693
0.000000 0.555556 -0.939693 -0.939693
0.000000 0.666667 -0.500000 -0.500000
0.000000 0.777778 0.173648 0.173648
0.000000 0.888889 0.766044 0.766044
0.000000 1.000000 1.000000 1.000000
0.111111 0.000000 0.766044 0.766044
0.111111 0.111111 0.586824 0.586824
0.111111 0.222222 0.133022 0.133022
0.111111 0.333333 -0.383022 -0.383022
0.111111 0.444444 -0.719846 -0.719846
0.111111 0.555556 -0.719846 -0.719846
0.111111 0.666667 -0.383022 -0.383022
0.111111 0.777778 0.133022 0.133022
0.111111 0.888889 0.586824 0.586824
0.111111 1.000000 0.766044 0.766044
0.222222 0.000000 0.173648 0.173648
0.222222 0.111111 0.133022 0.133022
0.222222 0.222222 0.030154 0.030495
0.222222 0.333333 -0.086824 -0.086157
0.222222 0.444444 -0.163176 -0.162296
0.222222 0.555556 -0.163176 -0.162296
0.222222 0.666667 -0.086824 -0.086157
0.222222 0.777778 0.030154 0.030495
0.222222 0.888889 0.133022 0.133022
0.222222 1.000000 0.173648 0.173648
0.333333 0.000000 -0.500000 -0.500000
0.333333 0.111111 -0.383022 -0.383022
0.333333 0.222222 -0.086824 -0.086157
0.333333 0.333333 0.250000 0.251642
0.333333 0.444444 0.469846 0.472173
0.333333 0.555556 0.469846 0.472173
0.333333 0.666667 0.250000 0.251642
0.333333 0.777778 -0.086824 -0.086157
0.333333 0.888889 -0.383022 -0.383022
0.333333 1.000000 -0.500000 -0.500000
0.444444 0.000000 -0.939693 -0.939693
0.444444 0.111111 -0.719846 -0.719846
0.444444 0.222222 -0.163176 -0.162296
0.444444 0.333333 0.469846 0.472173
0.444444 0.444444 0.883022 0.886384
0.444444 0.555556 0.883022 0.886384
0.444444 0.666667 0.469846 0.472173
0.444444 0.777778 -0.163176 -0.162296
0.444444 0.888889 -0.719846 -0.719846
0.444444 1.000000 -0.939693 -0.939693
0.555556 0.000000 -0.939693 -0.939693
0.555556 0.111111 -0.719846 -0.719846
0.555556 0.222222 -0.163176 -0.162296
0.555556 0.333333 0.469846 0.472173
0.555556 0.444444 0.883022 0.886384
0.555556 0.555556 0.883022 0.886384
0.555556 0.666667 0.469846 0.472173
0.555556 0.777778 -0.163176 -0.162296
0.555556 0.888889 -0.719846 -0.719846
0.555556 1.000000 -0.939693 -0.939693
0.666667 0.000000 -0.500000 -0.500000
0.666667 0.111111 -0.383022 -0.383022
0.666667 0.222222 -0.086824 -0.086157
0.666667 0.333333 0.250000 0.251642
0.666667 0.444444 0.469846 0.472173
0.666667 0.555556 0.469846 0.472173
0.666667 0.666667 0.250000 0.251642
0.666667 0.777778 -0.086824 -0.086157
0.666667 0.888889 -0.383022 -0.383022
0.666667 1.000000 -0.500000 -0.500000
0.777778 0.000000 0.173648 0.173648
0.777778 0.111111 0.133022 0.133022
0.777778 0.222222 0.030154 0.030495
0.777778 0.333333 -0.086824 -0.086157
0.777778 0.444444 -0.163176 -0.162296
0.777778 0.555556 -0.163176 -0.162296
0.777778 0.666667 -0.086824 -0.086157
0.777778 0.777778 0.030154 0.030495
0.777778 0.888889 0.133022 0.133022
0.777778 1.000000 0.173648 0.173648
0.888889 0.000000 0.766044 0.766044
0.888889 0.111111 0.586824 0.586824
0.888889 0.222222 0.133022 0.133022
0.888889 0.333333 -0.383022 -0.383022
0.888889 0.444444 -0.719846 -0.719846
0.888889 0.555556 -0.719846 -0.719846
0.888889 0.666667 -0.383022 -0.383022
0.888889 0.777778 0.133022 0.133022
0.888889 0.888889 0.586824 0.586824
0.888889 1.000000 0.766044 0.766044
1.000000 0.000000 1.000000 1.000000
1.000000 0.111111 0.766044 0.766044
1.000000 0.222222 0.173648 0.173648
1.000000 0.333333 -0.500000 -0.500000
1.000000 0.444444 -0.939693 -0.939693
1.000000 0.555556 -0.939693 -0.939693
1.000000 0.666667 -0.500000 -0.500000
1.000000 0.777778 0.173648 0.173648
1.000000 0.888889 0.766044 0.766044
1.000000 1.000000 1.000000 1.000000
